Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10), Total Reviews ,Duration (min),Gross Revenue,Budget
Over the Hill to the Poorhouse,9/15/1920,Black and White,Crime,English,USA,Not Rated,Stephen Carr,Harry F. Millarde,2,4,0,0,4.8,1,110,3000000,100000
Metropolis,1/26/1927,Black and White,Drama,German,Germany,Not Rated,Brigitte Helm,Fritz Lang,136,203,756,12000,8.3,260,145,26435,6000000
The Broadway Melody,11/11/1929,Black and White,Musical,English,USA,Passed,Anita Page,Harry Beaumont,77,109,4,167,6.3,36,100,2808000,379000
42nd Street,8/29/1933,Black and White,Comedy,English,USA,Unrated,Ginger Rogers,Lloyd Bacon,610,995,24,439,7.7,65,89,2300000,439000
Top Hat,4/15/1935,Black and White,Comedy,English,USA,Approved,Ginger Rogers,Mark Sandrich,610,824,10,1000,7.8,66,81,3000000,609000
Modern Times,10/7/1936,Black and White,Comedy,English,USA,G,Paulette Goddard,Charles Chaplin,309,352,0,0,8.6,120,87,163245,1500000
Snow White and the Seven Dwarfs,2/2/1937,Color,Animation,English,USA,Approved,Adriana Caselotti,William Cottrell,82,229,0,0,7.7,145,83,184925485,2000000
Gone with the Wind,11/12/1939,Color,Drama,English,USA,G,Hattie McDaniel,Victor Fleming,503,1862,149,16000,8.2,157,226,198655278,3977000
The Wizard of Oz,4/9/1939,Black and White,Adventure,English,USA,Passed,Margaret Hamilton,Victor Fleming,695,2509,149,14000,8.1,213,102,22202612,2800000
Fantasia,5/18/1940,Color,Animation,English,USA,G,Leopold Stokowski,James Algar,16,16,11,3000,7.8,99,120,76400000,2280000
Pinocchio,10/12/1940,Color,Animation,English,USA,Approved,Mel Blanc,Norman Ferguson,1000,1178,3,0,7.5,105,88,84300000,2600000
Duel in the Sun,6/7/1946,Color,Drama,English,USA,Unrated,Joseph Cotten,King Vidor,469,2037,54,403,6.9,32,144,20400000,8000000
The Best Years of Our Lives,4/26/1946,Black and White,Drama,English,USA,Not Rated,Myrna Loy,William Wyler,749,1941,355,0,8.1,97,172,23650000,2100000
The Lady from Shanghai,12/7/1947,Black and White,Crime,English,USA,Not Rated,Rita Hayworth,Orson Welles,1000,1055,0,0,7.7,90,92,7927,2300000
The Pirate,4/7/1948,Color,Adventure,English,USA,Approved,Gladys Cooper,Vincente Minnelli,89,282,136,359,7.1,41,102,2956000,3700000
Annie Get Your Gun,4/2/1950,Color,Biography,English,USA,Passed,Keenan Wynn,George Sidney,277,731,24,456,7,21,107,8000000,3768785
The Greatest Show on Earth,10/23/1952,Color,Drama,English,USA,Not Rated,Gloria Grahame,Cecil B. DeMille,232,825,309,625,6.7,44,152,36000000,4000000
"The Beast from 20,000 Fathoms",8/22/1953,Black and White,Adventure,English,USA,Approved,Kenneth Tobey,Eugène Lourié,57,205,7,465,6.7,67,80,5000000,210000
The Robe,5/15/1953,Color,Drama,English,USA,Unrated,Richard Burton,Henry Koster,726,1920,28,0,6.8,42,135,36000000,5000000
On the Waterfront,10/29/1954,Black and White,Crime,English,USA,Not Rated,Marlon Brando,Elia Kazan,10000,11094,603,0,8.2,134,108,9600000,910000
Seven Samurai,7/2/1954,Black and White,Action,Japanese,Japan,Unrated,Takashi Shimura,Akira Kurosawa,304,338,0,11000,8.7,153,202,269061,2000000
The Bridge on the River Kwai,9/24/1957,Color,Adventure,English,UK,PG,William Holden,David Lean,682,1035,767,0,8.2,122,161,27200000,3000000
Some Like It Hot,2/23/1959,Black and White,Comedy,English,USA,Not Rated,Nehemiah Persoff,Billy Wilder,105,527,0,10000,8.3,181,120,25000000,2883848
Psycho,11/4/1960,Black and White,Horror,English,USA,R,Janet Leigh,Alfred Hitchcock,606,1885,13000,18000,8.5,290,108,32000000,806947
West Side Story,5/3/1961,Color,Crime,English,USA,Unrated,Rita Moreno,Jerome Robbins,804,1802,34,0,7.6,120,152,43650000,6000000
Dr. No,11/27/1962,Color,Action,English,UK,Approved,Ursula Andress,Terence Young,650,1421,92,5000,7.3,184,110,16067035,1100000
Lawrence of Arabia,10/11/1962,Color,Adventure,English,UK,PG,Claude Rains,David Lean,607,1076,767,11000,8.4,181,227,6000000,15000000
