Location,Burrito,Date,Recommendation,Reviewer,Notes,Yelp Rating,Cost,Tortilla (0-5),Temp (0-5),Fillings (0-5),Meat Volume (0-5),Uniformity (0-5),Salsa (0-5),Synergy (0-5),Wrap Quality (0-5)
Donato's taco shop,California,1/18/2016,,Scott,good fries: 4/5,3.5,6.49,3,5,3.5,4,4,4,4,4
Oscar's Mexican food,California,1/24/2016,,Scott,Fries: 3/5; too little meat,3.5,5.45,2,3.5,2.5,2,4,3.5,2.5,5
Oscar's Mexican food,Carnitas,1/24/2016,,Emily,,,4.85,3,2,3,4.5,4,3,3,5
Oscar's Mexican food,Carne asada,1/24/2016,,Ricardo,Go to average burrito place like Rigoberto's in la jolla; Terrible tamales,,5.25,3,2,3,4,5,4,4,5
Pollos Maria,California,1/27/2016,Yes,Scott,,4,6.59,4,5,3.5,4.5,5,2.5,4.5,4
Pollos Maria,combo chicken,1/28/2016,,Emily,,,6.99,3,4,3.5,2.5,2.5,2.5,4,1
Nico's Taco Shop,California,1/30/2016,No,Scott,not fries. big potatoes,3,7.19,2,3,2,2.5,2.5,3,2,3
Nico's Taco Shop,Carnitas,1/30/2016,,Emily,,,6.99,2.5,3,2.5,3,3.5,3,2.5,3
Los Primos Mexican Food,Monster California,2/1/2016,,Scott,this tasted really bad leftover. not included in rating,3,9.25,2,4.5,3.5,1.5,3,3.5,4,2
JV's Mexican Food,Carne Asada,2/6/2016,No,Scott,,4,6.25,2.5,1.5,3,4.5,3,1.5,2,4.5
JV's Mexican Food,Surf & Turf,2/6/2016,,Emily,Huge. Shrimp is good. Meat is normal,,9.5,2.5,2.5,2.5,2.5,2,0.5,3,3.5
Tony's Fresh Mexican Food,Chile verde pork,2/11/2016,,Marc,,3,6.95,3,4,3,4,4,1,2,1
Tony's Fresh Mexican Food,California,2/11/2016,,Scott,,,6.25,3,3.5,4,2,3.5,1,4,4
Tony's Fresh Mexican Food,battered fish,2/11/2016,,Nicole,,,6.99,3,1,2.5,4,4,3,4.5,5
Tony's Fresh Mexican Food,California,2/11/2016,,Cris,"to-go, no guac or sour cream, fries are a small and underdone",,6.25,4,3,2,4,4,3,3,4
Taco Stand,California,2/12/2016,,Emily,Horchata is very sweet,4.5,7.49,3,2.5,4,3.5,2.5,3.5,5,4.5
Taco Stand,Surf and turf,2/12/2016,,Scott,,,8.49,4,4,4,5,4.5,3.5,4,2
Graciela's Taco Shop,Adobada,2/14/2016,Yes,Scott,Salsa verde spicy,4,5.99,4,4,3.5,4,4.5,4,4,4.5
Graciela's Taco Shop,Barbacoa,2/14/2016,,Emily,,,5.99,3.5,4,3,4,3,4,4,1.5
Rigoberto's Taco Shop La Jolla,California,2/17/2016,,Leo,,2.5,6.4,3,4,3,4,2,2,3,5
Rigoberto's Taco Shop La Jolla,California,2/17/2016,,Scott,,,6.4,3.5,3,3,4,4,1.5,3,4.5
Lolita's taco shop,2 in 1,2/24/2016,Yes,Scott,Rolled tacos need more meat,4,8.75,1.5,2,3.5,4,1,3.5,4.5,4
Lolita's taco shop,Adobado,2/24/2016,,Emily,Adobado reminds me of Indian food because of some mystery spice,,5.5,1.5,2.5,3,4,1.5,2.5,3.5,4.5
Taco Stand,California,2/28/2016,Yes,Scott,,,7.49,4,3,4,4,4,4,4,3
Taco Stand,California,2/28/2016,,Emily,,,7.49,3,2,4,4,3.5,3,4.5,4.5
Lola's 7 Up Market & Deli,Shredded beef,2/29/2016,,Emily,Food cooks fast but checking out is painfully slow,4.5,6,2.5,2.5,4,4,4,3,3.5,1.5
Lola's 7 Up Market & Deli,Carne asada,2/29/2016,,Scott,Beans are surprisingly good,,7,2.5,3,4,2,2,3,3.5,3.5
Colima's Mexican Food,Hawaiian,3/3/2016,Yes,Scott,,4,6.29,3.5,5,4,3.5,4.5,3.5,3.5,4
Colima's Mexican Food,Bandido,3/3/2016,,Sage,,,6.49,3,5,4,5,4,2.5,4.5,4
Colima's Mexican Food,Bandido,3/3/2016,,Eli,Promising start but finished poorly,,6.49,3,4.5,3.5,3.5,3,3,3,4
Rigoberto's Taco Shop,Carne asada,3/8/2016,,Ricardo,,4,6.6,4,2,3.5,4.5,4,3.5,4,1
Rigoberto's Taco Shop,Campeon,3/8/2016,,Scott,,,7.65,3,1.5,3,2.5,3,3.5,2.5,4
Raul's Mexican food,Chile verde pork,3/11/2016,,Emily,,4,5,2,3,2,2,2,2,2.5,3
Raul's Mexican food,carne asada,3/11/2016,No,Scott,burrito was mostly tortilla,,5,2,3,1,0.5,1,1.5,1,4
El Zarape,California,3/14/2016,,Kelsey,,4,6.25,3,5,2.75,4,1.6,3.5,3.4,5
El Zarape,California chicken,3/14/2016,,Sage,,,6.25,3.5,5,2.5,4,2.7,3.5,3,5
El Zarape,Azteca,3/14/2016,,Jake,,,6.25,3,5,4.5,4,4,1.5,3,5
