Page,Date of Post,Post Copy,Link,Post Type,Hour of Post,Time of Day,Shares,Reactions,Likes,Comments
Spartan Race,8/30/2016,Find out tomorrow night how the sandbag carry will make or break the men's elite podium in the Penns…,https://www.facebook.com/spartanrace/videos/10153688455391861/,video,0,Late Night,252,470,444,25
Spartan Race,8/30/2016,"Through grit and determination, fearless battles and triumphs, this mountain has been annointed with…",https://www.facebook.com/spartanrace/videos/10153689710261861/,video,14,Afternoon,129,399,382,18
Spartan Race,8/30/2016,"Tune in and work out with Epic Alexander Nicohlas at Epic Hybrid Training for today's ""Lunchtime Wor…",https://www.facebook.com/spartanrace/videos/10153689880451861/,video,15,Evening,46,416,388,46
Spartan Race,8/30/2016,Q&A with Epic Alexander Nicholas! Ask about his Lunchtime Workout routine or other ways to get fitne…,https://www.facebook.com/spartanrace/videos/10153689894236861/,video,15,Evening,15,202,193,25
Spartan Race,8/30/2016,"""It's an opportunity to learn from [Amanda], to learn that spirit."" - Amelia Boone

Spartan Pro, Ame…",https://www.facebook.com/spartanrace/videos/10153690789351861/,video,23,Late Night,440,1046,879,48
Spartan Race,8/31/2016,"Suns out guns out in Austin, Texas!! Spartan Strong host Evan Dollard talks about explosiveness when…",https://www.facebook.com/spartanrace/videos/10153690890801861/,video,0,Late Night,26,382,358,81
Spartan Race,8/31/2016,"Alyssa Hawley Grip and rip challenge workout! 
http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153691944911861/,video,13,Afternoon,73,600,544,105
Spartan Race,8/31/2016,"There are a few simple do's and don'ts to avoid ankle pain, on and off the Spartan course.",http://sprtn.im/2bEWvP1,link,14,Afternoon,60,252,246,31
Spartan Race,8/31/2016,"Every racer has a story, what's yours? #WHYIRACE http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/photos/a.10150560594891861.372646.251061411860/10153601740941861/?type=3,photo,15,Evening,63,604,560,24
Spartan Race,8/31/2016,"Join Spartan Pro Team member Cassidy Watton at Epic Hybrid Training in our ""Lunchtime Workout"" serie…",https://www.facebook.com/spartanrace/videos/10153692304476861/,video,15,Evening,27,377,353,43
Spartan Race,8/31/2016,Tired of the Summer heat? Spartan is looking to put on a first ever Winter Race in the United States…,,status,20,Evening,,100,88,86
Spartan Race,9/1/2016,"The early Spartan catches the first glimpse. 

Buy, share and review Obstacle Course Racing's first …",http://apple.co/2c2iQ7M,link,4,Late Night,14,119,116,7
Spartan Race,9/1/2016,Meet Coach Q your September workout coach http://sprtn.im/WHYIRACE_2016,https://www.facebook.com/spartanrace/videos/10153694715391861/,video,13,Afternoon,28,352,321,45
Spartan Race,9/1/2016,"Sidelined by injuries last season, Becca Clifford has taken a different approach to training and rac…",http://bit.ly/2bbLAH1,link,14,Afternoon,5,52,50,0
Spartan Race,9/1/2016,Forget about just a lunchtime workout - Spartan Alexander Nicholas is serving up a 100 REP WORKWEEK …,https://www.facebook.com/spartanrace/videos/10153694912646861/,video,15,Evening,49,278,249,30
Spartan Race,9/1/2016,ASK EPIC ALEXANDER ANYTHING! Live Q&A - ask about the workweek challenge he just demonstrated or any…,https://www.facebook.com/spartanrace/videos/10153694938951861/,video,16,Evening,5,229,209,42
Spartan Race,9/1/2016,"#AROO to Amanda Sullivan Love (@cruthcing_tigress) for being a #BeautyAndABeast inside and out!
""I m…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153695148201861/?type=3,photo,18,Evening,331,4862,3633,101
Spartan Race,9/1/2016,IORF - International Obstacle Racing Federation President Ian Adamson talks about what's next for th…,https://www.facebook.com/CheddarLife/videos/155173594925258/,video,18,Evening,,7,6,0
Spartan Race,9/1/2016,0,https://www.facebook.com/events/331009823910067/,event,18,Evening,,192,188,1
Spartan Race,9/1/2016,#tbt to when Jon Albon shocked the world and Claude Godbout became a two-time World Champion. Who wi…,https://www.facebook.com/spartanrace/videos/10153695541466861/,video,21,Evening,56,257,239,7
Spartan Race,9/1/2016,"Follow Robert Killian on his road back to Tahoe in ""Hard Work Defined"" presented by Ascent Protein. …",https://www.facebook.com/spartanrace/videos/10153694909121861/,video,23,Late Night,129,1236,1178,14
Spartan Race,9/1/2016,Coach Jodie Somers is live from Australia with a strength workout to prepare you for your next Spart…,https://www.facebook.com/spartanrace/videos/10153695816636861/,video,23,Late Night,28,383,344,43
Spartan Race,9/1/2016,"Do you like Spartan Race and documentaries? Trick question - everyone does. Download ""Rise of The Su…",https://www.facebook.com/sufferfests/videos/635070136656433/,video,23,Late Night,1,727,647,97
Spartan Race,9/2/2016,"Coach Q morning WOD ""All about that base"" http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153697244106861/,video,14,Afternoon,34,284,260,34
Spartan Race,9/2/2016,"Causing smiles on #SpartanKids and adults since 431 BC. #SpartanRace

http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153697372071861/?type=3,photo,15,Evening,9,317,308,6
Spartan Race,9/2/2016,"Spartan Race Host David Magida Recaps Tuesday's Episode: The Blue Mountain Challenge from Palmerton,…",https://www.facebook.com/spartanrace/videos/10153697384266861/,video,15,Evening,10,179,160,38
Spartan Race,9/2/2016,"Join Spartan Pro Team member Cassidy Watton at Epic Hybrid Training in our ""Lunchtime Workout"" serie…",https://www.facebook.com/spartanrace/videos/10153697453681861/,video,15,Evening,23,241,227,16
Spartan Race,9/2/2016,Ask Spartan Pro Team member Cassidy Watton ANYTHING! Live Q&A - ask about the workweek challenge she…,https://www.facebook.com/spartanrace/videos/10153697503811861/,video,16,Evening,10,376,341,41
Spartan Race,9/2/2016,"BROCR braved the altitude of Breckenridge, the final race of the U.S. Championship Series. #SpartanR…",https://www.facebook.com/spartanrace/videos/10153697782921861/,video,18,Evening,11,133,128,4
Spartan Race,9/2/2016,"Tag the friend who got you to run your first #SpartanRace, even if they had to carry you kicking and…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153697880841861/?type=3,photo,18,Evening,66,895,860,229
Spartan Race,9/2/2016,"Coming into each race it was anyone's game, but ulimately Spartan elite, Ryan Atkins prevailed as wi…",https://www.facebook.com/spartanrace/videos/10153698127391861/,video,21,Evening,20,362,351,5
Spartan Race,9/2/2016,Introducing Spartan World Championship VIP Upgrades. Experience the World Championship like a true S…,http://sprtn.im/2cglpAw,link,21,Evening,13,98,97,2
Spartan Race,9/2/2016,Three day weekend means more time for #SpartanTraining. How are you staying active this weekend? #Sp…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153698418466861/?type=3,photo,23,Late Night,9,478,461,14
Spartan Race,9/3/2016,"#AROO to the Spartans giving their all around the globe this weekend at races in Australia, Slovakia…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153699701941861/?type=3,photo,13,Afternoon,10,313,303,4
Spartan Race,9/3/2016,"The heat at the Peterborough, UK #SpartanRace has just been turned up, and we aren't referring to th…",https://www.facebook.com/spartanrace/videos/10153699728081861/,video,13,Afternoon,306,4282,3666,107
Spartan Race,9/3/2016,Get back to work and take 30% off your next race. Use Code: SUMMER30 http://sprtn.im/EndOfSummer,https://www.facebook.com/spartanrace/photos/a.10150560594891861.372646.251061411860/10153699937881861/?type=3,photo,14,Afternoon,52,142,139,31
Spartan Race,9/3/2016,Spartan Jenni @fearless_jenni races to test her limits. Her medals exist as reminders to push past b…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153700283121861/?type=3,photo,17,Evening,58,1224,1093,61
Spartan Race,9/3/2016,Now that's a leg day. How do you train solid stems to tackle the steep climbs at a #SpartanRace? #Sp…,https://www.facebook.com/spartanrace/videos/10153700294496861/,video,18,Evening,79,1002,959,37
Spartan Race,9/3/2016,"Lindsay Webster reigns supreme as winner of the Spartan US Championship Series, but is she the best …",https://www.facebook.com/spartanrace/videos/10153700677161861/,video,21,Evening,54,847,813,8
Spartan Race,9/4/2016,The toughest part of Tahoe and how to train for it. #RoadToTahoe,http://bit.ly/2bJysKN,link,14,Afternoon,35,336,320,21
Spartan Race,9/4/2016,"The harder you work for something, the better you'll feel when you achieve it. #WHYIRACE #SpartanRac…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153702409696861/?type=3,photo,14,Afternoon,24,743,728,2
Spartan Race,9/4/2016,#AROO to our neighbors up north who clearly have no problem getting muddy on the course at the 2016 …,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153702945256861/?type=3,photo,18,Evening,7,718,694,6
Spartan Race,9/4/2016,Know your limitations and then defy them. #WHYIRACE #SpartanRace,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153703431211861/?type=3,photo,22,Evening,63,798,770,9
Spartan Race,9/5/2016,Congratulations to @SpartanProTeam member Faye Stenning (@fayestenning_ocr) on her back to back vict…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153704805631861/?type=3,photo,14,Afternoon,2,335,328,4
Spartan Race,9/5/2016,"Coach Q WOD ""Love of Labor"" http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153704897706861/,video,14,Afternoon,27,294,266,29
Spartan Race,9/5/2016,"In honor of #LaborDay, we'd like to extend a special thanks to all the hardworking staff, crew and v…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153705128476861/?type=3,photo,16,Evening,5,860,830,9
Spartan Race,9/5/2016,"Ali Tucker is committed to herself, her family and the Spartan Delta. #WHYIRACE",http://sprtn.im/2bMZQXr,link,19,Evening,10,339,326,3
Spartan Race,9/5/2016,Everything you need to know about stress fractures.,http://bit.ly/2bJBbUC,link,22,Evening,37,166,162,8
Spartan Race,9/5/2016,Coach Jodie Somers is live from Australia with a lower body/ core strength workout to get you ready …,https://www.facebook.com/spartanrace/videos/10153705939291861/,video,23,Late Night,39,487,434,51
Spartan Race,9/6/2016,"You don't need to be a beast to conquer a #SpartanRace Ultra Beast, but for Spartan  @visokplecat, i…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153706129771861/?type=3,photo,0,Late Night,13,1117,1036,21
Spartan Race,9/6/2016,Post pictures and stories of your own #SpartanTransformation with the hashtag #SpartanOK for a chanc…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153707289106861/?type=3,photo,14,Afternoon,9,536,506,17
Spartan Race,9/6/2016,Get back to work and take 30% off your next race. Use Code: SUMMER30 http://bit.ly/EndOfSummer2016,https://www.facebook.com/spartanrace/photos/a.10150560594891861.372646.251061411860/10153707583066861/?type=3,photo,16,Evening,47,108,104,27
Spartan Race,9/7/2016,"Does the reigning, Spartan World Champion have what it takes?",http://sprtn.im/2bqgbo1,link,0,Late Night,3,148,138,1
