State,Age,Total Population,Citizen Population,Registered Voters,Confirmed Voters
Alabama,18 to 24,439000,428000,212000,155000
Alabama,25 to 34,576000,535000,359000,271000
Alabama,35 to 44,615000,582000,410000,330000
Alabama,45 to 64,1297000,1275000,1051000,939000
Alabama,65+,667000,660000,523000,459000
Alaska,18 to 24,63000,61000,31000,20000
Alaska,25 to 34,109000,103000,70000,46000
Alaska,35 to 44,86000,80000,60000,50000
Alaska,45 to 64,186000,182000,144000,122000
Alaska,65+,72000,69000,55000,51000
Arizona,18 to 24,586000,545000,301000,234000
Arizona,25 to 34,859000,709000,399000,289000
Arizona,35 to 44,870000,713000,437000,382000
Arizona,45 to 64,1656000,1502000,1015000,901000
Arizona,65+,892000,846000,659000,606000
Arkansas,18 to 24,288000,281000,126000,70000
Arkansas,25 to 34,362000,336000,194000,140000
Arkansas,35 to 44,357000,341000,234000,205000
Arkansas,45 to 64,742000,704000,498000,442000
Arkansas,65+,449000,448000,324000,267000
California,18 to 24,3962000,3479000,1787000,1447000
California,25 to 34,5357000,4153000,2548000,2070000
California,35 to 44,5030000,3675000,2478000,2118000
California,45 to 64,9356000,7827000,5459000,4926000
California,65+,4653000,4284000,3084000,2902000
Colorado,18 to 24,493000,461000,278000,259000
Colorado,25 to 34,693000,602000,411000,363000
Colorado,35 to 44,684000,616000,484000,452000
Colorado,45 to 64,1354000,1287000,1025000,989000
Colorado,65+,593000,577000,437000,432000
Connecticut,18 to 24,333000,308000,145000,123000
Connecticut,25 to 34,402000,331000,210000,177000
Connecticut,35 to 44,441000,382000,255000,223000
Connecticut,45 to 64,1047000,993000,768000,695000
Connecticut,65+,503000,486000,383000,351000
Delaware,18 to 24,82000,77000,38000,33000
Delaware,25 to 34,106000,86000,54000,49000
Delaware,35 to 44,119000,102000,77000,67000
Delaware,45 to 64,240000,232000,182000,168000
Delaware,65+,146000,145000,118000,113000
District Of Columbia,18 to 24,71000,61000,43000,38000
District Of Columbia,25 to 34,154000,133000,114000,102000
District Of Columbia,35 to 44,79000,67000,59000,55000
District Of Columbia,45 to 64,140000,129000,109000,99000
District Of Columbia,65+,73000,71000,60000,57000
Florida,18 to 24,1669000,1467000,751000,614000
Florida,25 to 34,2259000,1903000,1158000,987000
Florida,35 to 44,2456000,1960000,1335000,1177000
Florida,45 to 64,5345000,4814000,3474000,3107000
Florida,65+,3304000,3182000,2384000,2222000
Georgia,18 to 24,920000,867000,469000,349000
Georgia,25 to 34,1308000,1148000,847000,700000
Georgia,35 to 44,1341000,1228000,825000,726000
Georgia,45 to 64,2658000,2547000,1886000,1741000
Georgia,65+,951000,948000,739000,652000
Hawaii,18 to 24,107000,91000,33000,24000
Hawaii,25 to 34,172000,154000,65000,55000
Hawaii,35 to 44,166000,153000,83000,69000
Hawaii,45 to 64,343000,317000,217000,196000
Hawaii,65+,224000,215000,149000,137000
Idaho,18 to 24,130000,121000,51000,39000
Idaho,25 to 34,194000,173000,114000,99000
Idaho,35 to 44,203000,187000,141000,132000
Idaho,45 to 64,401000,382000,274000,250000
Idaho,65+,201000,201000,164000,160000
Illinois,18 to 24,1228000,1122000,608000,396000
Illinois,25 to 34,1707000,1480000,1020000,846000
Illinois,35 to 44,1688000,1481000,1066000,872000
Illinois,45 to 64,3407000,3182000,2471000,2206000
Illinois,65+,1620000,1566000,1259000,1108000
Indiana,18 to 24,570000,558000,269000,203000
Indiana,25 to 34,861000,800000,462000,356000
Indiana,35 to 44,828000,801000,550000,420000
