Symbol,AAPL,,,,
,,,,,
Date,Sum of Open,Sum of High,Sum of Low,Sum of Close,Sum of Volume
8/21/2009,167.81,169.37,166.8,169.22,148597
8/24/2009,170,170.71,168.27,169.06,145331
8/25/2009,169.43,170.94,169.13,169.4,115840
8/26/2009,168.94,169.55,166.76,167.41,108570
8/27/2009,168.59,169.57,164.83,169.45,160421
8/28/2009,172.06,172.49,168.53,170.05,162092
8/31/2009,168.09,168.85,166.5,168.21,111264
9/1/2009,168.02,170,164.94,165.298,167509
9/2/2009,164.5,167.61,164.11,165.18,130143
9/3/2009,166.52,167.1,165,166.55,105036
9/4/2009,167.2,170.7,167.09,170.31,133795
9/9/2009,172.72,174.47,169.7,171.14,289746
9/10/2009,172.03,173.25,170.81,172.56,175404
9/11/2009,172.96,173.18,170.87,172.16,124628
9/14/2009,170.85,173.9,170.25,173.72,115003
9/15/2009,174.04,175.65,173.59,175.16,152310
9/16/2009,178,182.75,177.88,181.87,269293
9/17/2009,181.99,186.79,181.97,184.55,289489
9/18/2009,185.9,186.55,184.76,185.02,214909
9/21/2009,184.44,185.16,181.62,184.02,156327
9/22/2009,185.1,185.38,182.85,184.48,127487
9/23/2009,185.35,188.9,185.03,185.5,212157
9/24/2009,187.28,187.7,182.77,183.82,196742
9/25/2009,182.13,185.5,181.44,182.37,159102
9/28/2009,183.83,186.68,183.33,186.1519,120588
9/29/2009,186.66,187.4,184.31,185.38,123351
9/30/2009,186.04,186.45,182.6127,185.35,192708
10/1/2009,185.49,186.22,180.7,180.8599,187396
10/2/2009,181.38,185.94,181.35,184.9,197655
10/5/2009,186.2,186.86,184.2701,186.024,150152
10/6/2009,187.73,190.01,187.3,190.01,216101
10/7/2009,189.82,190.55,189.032,190.25,166309
10/8/2009,190.8,191.45,188.89,189.27,156503
10/9/2009,188.9,190.7,188.62,190.47,104783
10/12/2009,190.97,191.51,189.64,190.81,102911
10/13/2009,190.58,191.17,189.7,190.02,124292
10/14/2009,192.2,192.32,190.23,191.29,134203
10/15/2009,189.6,190.92,189.53,190.56,133412
10/16/2009,189.25,190.36,187.84,188.05,154080
10/19/2009,187.84,190,185.55,189.86,336510
10/20/2009,200.47,201.75,197.85,198.76,407514
10/21/2009,199.62,208.7099,199.23,204.92,426330
10/22/2009,204.52,207.85,202.51,205.2,282639
10/23/2009,205.74,205.8,203.23,203.94,150280
10/26/2009,203.71,206.75,200.1,202.48,172977
10/27/2009,201.64,202.81,196.45,197.37,270196
10/28/2009,197.36,198.02,191.1,192.4,292280
11/5/2009,192.7,195,191.82,194.0301,137472
11/6/2009,193,195.19,192.4,194.34,105439
11/9/2009,196.95,201.9,196.26,201.46,188876
11/10/2009,201.07,204.98,201.01,202.98,143283
11/11/2009,204.63,205,201.83,203.25,158599
11/13/2009,202.97,204.83,202.07,204.45,122618
11/16/2009,205.44,208,205.01,206.63,173287
11/17/2009,206.07,207.44,205,207,141611
11/18/2009,206.26,207,204,205.96,133685
11/19/2009,204.51,204.61,199.8,200.51,193687
11/20/2009,198.33,200.39,197.76,199.92,145317
Grand Total,10816.23,10920.6399,10715.8348,10821.3639,10218239
