Gender,F
,
Activity,Count of Case Number
0,43
"""Riding waves on a board""",1
"16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",1
17 Maldivians adrift in open boat for 31 days,1
a corsair's boat was overturned,1
A father bathing his smallest daughter when the shark bumped her out of his arms and carried her into deep water,1
Air disaster,1
Attempting to attract dolphins,1
Attempting to rescue a shark,1
Attempting to swim across the Atlantic Ocean,1
Bathing,10
Bathing in 5' of water,1
Bathing or body surfing ,1
Bathing or washing,1
Bathing with her mother,1
Bitten after dhow shipwrecked,1
Boat capsized?,1
Boating,1
Body boarding,3
Body surfing,6
Body surfing ,1
Body surfing or Boogie boarding,1
Boogie boarding,14
Canoeing,2
Competing in the Woodvale Atlantic Rowing Race,1
Copra vessel with 19 on board was wrecked in a squall,1
Crouching in 2' of water,1
Dangling feet in the water,1
Dived onto shark from floating stage,1
Diving,4
Diving for abalone,1
Diving into water,1
"Diving, feeding sharks",1
Dog paddling or standing,1
Feeding fish,2
Fell into the water,1
"Fell overboard, prop slashed arm",1
Fishing,6
Fishing / standing in waist deep water,1
Fishing for shrimp,1
Fishing from dinghy,1
Fishing in shoulder-deep water,1
Floating,3
Floating face down,1
Floating in tube,1
Floating on raft,1
Free diving / modeling,1
Free diving for scallops,1
Free diving with goggles,1
"Greek steamship Lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished",1
Holding onto an inflatable boat,1
In water with diving seabirds,1
Jumped into the water,1
Jumped off rocks into white water,1
Jumping,2
Kayaking,4
Kayaking ,1
Kiteboarding,1
Kneeling in the water,1
Lying atop surfboard,1
Marathon swimming,1
"Overcome by CO fumes, fell overboard from 36' fishing cruiser & prop slashed arm",1
Paddle Boarding,2
Paddle-boarding,1
Paddling in knee-deep water,1
Petting captive sharks,1
Picking up shark by the tail,1
Playing,3
Playing ,1
Playing / standing,1
Playing in knee-deep water,1
Playing in the surf,1
Playing in the water,1
Reported swept away by waves while gathering opihi,1
Rescuing,1
Reviving a sedated shark,1
Riding floatation device,1
Rowing ,1
Scuba diving,9
Scuba diving (but on surface),2
Scuba diving at seal colony,1
"Scuba diving, hand feeding sharks",1
Sea disaster,1
Shark tagging,1
Shell diving,2
Sinking of the ferryboat Bongbong 1,1
Sitting in bow of her father's 5 m boat,1
Sitting in shallows,1
Sitting in the water,1
Snorkeling,32
"Snorkeling, carrying a speared fish in her hand",1
Spearfishing,5
"Spearfishing, holding mesh bag with speared fish",1
Splashing,1
Standing,27
Standing ,1
Standing in inner tube,1
Standing in water with child in her arms,1
Standing or boogie boardin,1
"Standing, watching seine netters",1
Stand-Up Paddleboarding,2
Surf fishing,1
Surf skiing,1
Surfing,45
Surfing & filming dolphins,1
Surfing or body surfing,1
"Surfing, paddling seawards",2
Surf-skiing,1
"Swept out to sea by the tsunami, she clung  to a log for 24 hours",1
Swimming,133
Swimming ,4
Swimming & snorkeling,1
Swimming / jumping off a jetty,1
Swimming / snorkeling,1
Swimming / Wading,1
Swimming 10 m from shore,1
Swimming alongside NOAA research vessel Discoverer,1
Swimming breast stoke,1
Swimming from the New Venture ,1
Swimming in fish tank,1
Swimming near pod of whales,1
Swimming off yacht,1
Swimming or boogie boarding,1
Swimming with boogie board,1
"Swimming, towing a kayak",1
"Swimming, wearing black wetsuit & swim fins",1
Tagging sharks,1
Teasing a shark,1
The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,1
Touching the mouth of a supposedly dead shark,1
Towing her sister on plastic ski board,1
Towing rubber dinghy,1
Trailing hand in the water,1
Treading water,1
Unknown,1
Wade fishing,1
Wading,51
Wading in school of baitfish,1
Wading near a fishing net,1
Wakeboarding,1
Walking,7
Walking in surf,1
Washing clothes,1
Windsurfing,1
Wreck of the 1308-ton Norwegian ship Auckland,1
Grand Total,543
