Season Start,Year,League,Team (Short),Team (Full),Division,DivWin,WCWin,LgWin,WSWin,G,W,L,RS,AB,H,2B,3B,HR,BB,SO,SB,CS,RA,ER,ERA,CG,SHO,SV
4/1/1995,1995,NL,ATL,Atlanta Braves,E,Y,N,Y,Y,144,90,54,645,4814,1202,210,27,168,520,933,73,43,540,493,3.44,18,11,34
4/1/1995,1995,AL,BAL,Baltimore Orioles,E,N,N,N,N,144,71,73,704,4837,1267,229,27,173,574,803,92,45,640,607,4.31,19,10,29
4/1/1995,1995,AL,BOS,Boston Red Sox,E,Y,N,N,N,144,86,58,791,4997,1399,286,31,175,560,923,99,44,698,630,4.39,7,9,39
4/1/1995,1995,AL,CAL,California Angels,W,N,N,N,N,145,78,67,801,5019,1390,252,25,186,564,889,58,39,697,645,4.52,8,9,42
4/1/1995,1995,AL,CHA,Chicago White Sox,C,N,N,N,N,145,68,76,755,5060,1417,252,37,146,576,767,110,39,758,692,4.85,12,4,36
4/1/1995,1995,NL,CHN,Chicago Cubs,C,N,N,N,N,144,73,71,693,4963,1315,267,39,158,440,953,105,37,671,597,4.13,6,12,45
4/1/1995,1995,NL,CIN,Cincinnati Reds,C,Y,N,N,N,144,85,59,747,4903,1326,277,35,161,519,946,190,68,623,577,4.03,8,10,38
4/1/1995,1995,AL,CLE,Cleveland Indians,C,Y,N,Y,N,144,100,44,840,5028,1461,279,23,207,542,766,132,53,607,554,3.83,10,10,50
4/1/1995,1995,NL,COL,Colorado Rockies,W,N,Y,N,N,144,77,67,785,4994,1406,259,43,200,484,943,125,59,783,711,4.97,1,1,43
4/1/1995,1995,AL,DET,Detroit Tigers,E,N,N,N,N,144,60,84,654,4865,1204,228,29,159,551,987,73,36,844,778,5.49,5,3,38
4/1/1995,1995,NL,FLO,Florida Marlins,E,N,N,N,N,143,67,76,673,4886,1278,214,29,144,517,916,131,53,673,610,4.27,12,7,29
4/1/1995,1995,NL,HOU,Houston Astros,C,N,N,N,N,144,76,68,747,5097,1403,260,22,109,566,992,176,60,674,595,4.06,6,8,32
4/1/1995,1995,AL,KCA,Kansas City Royals,C,N,N,N,N,144,70,74,629,4903,1275,240,35,119,475,849,120,53,691,643,4.49,11,10,37
4/1/1995,1995,NL,LAN,Los Angeles Dodgers,W,Y,N,N,N,144,78,66,634,4942,1303,191,31,140,468,1023,127,45,609,527,3.66,16,11,37
4/1/1995,1995,AL,MIN,Minnesota Twins,C,N,N,N,N,144,56,88,703,5005,1398,270,34,120,471,916,105,57,889,814,5.76,7,2,27
4/1/1995,1995,AL,ML4,Milwaukee Brewers,C,N,N,N,N,144,65,79,740,5000,1329,249,42,128,502,800,105,40,747,689,4.82,7,4,31
4/1/1995,1995,NL,MON,Montreal Expos,E,N,N,N,N,144,66,78,621,4905,1268,265,24,118,400,901,120,49,638,586,4.11,7,9,42
4/1/1995,1995,AL,NYA,New York Yankees,E,N,Y,N,N,145,79,65,749,4947,1365,280,34,122,625,851,50,30,688,651,4.56,18,5,35
4/1/1995,1995,NL,NYN,New York Mets,E,N,N,N,N,144,69,75,657,4958,1323,218,34,125,446,994,58,39,618,557,3.88,9,9,36
4/1/1995,1995,AL,OAK,Oakland Athletics,W,N,N,N,N,144,67,77,730,4916,1296,228,18,169,565,911,112,46,761,697,4.93,8,4,34
4/1/1995,1995,NL,PHI,Philadelphia Phillies,E,N,N,N,N,144,69,75,615,4950,1296,263,30,94,497,884,72,25,658,603,4.21,8,8,41
4/1/1995,1995,NL,PIT,Pittsburgh Pirates,C,N,N,N,N,144,58,86,629,4937,1281,245,27,125,456,972,84,55,736,666,4.7,11,7,29
4/1/1995,1995,NL,SDN,San Diego Padres,W,N,N,N,N,144,70,74,668,4950,1345,231,20,116,447,872,124,46,672,589,4.13,6,10,35
