Date,Conditions,Max Temp (F),Mean Temp (F),Min Temp (F),Max Wind Speed (MPH),Precipitation (in)
1/1/2016,Clear,41,39,33,32,0
1/2/2016,Clear,40,35,31,28,0
1/3/2016,Clear,44,36,31,28,0
1/4/2016,Clear,36,30,14,28,0
1/5/2016,Clear,26,16,8,23,0
1/6/2016,Clear,45,30,21,21.9,0
1/7/2016,Clear,43,33,26,18.1,0
1/8/2016,Clear,42,35,30,23,0
1/9/2016,Rain,41,40,38,18.1,0.01
1/10/2016,Rain,58,45,38,38.9,1.38
1/11/2016,Clear,51,40,25,38,0
1/12/2016,Snow,37,29,21,23,0.08
1/13/2016,Clear,33,29,21,47,0
1/14/2016,Clear,30,24,21,23,0
1/15/2016,Clear,42,31,26,17,0
1/16/2016,Rain,43,39,34,28,1.22
1/17/2016,Snow,38,35,29,21,0.1
1/18/2016,Snow,29,27,19,42.9,0.11
1/19/2016,Clear,25,20,16,45,0
1/20/2016,Clear,33,24,19,38,0
1/21/2016,Clear,33,27,21,35.1,0
1/22/2016,Clear,32,24,19,31.1,0
1/23/2016,Snow,32,29,20,45,0.37
1/24/2016,Clear,36,25,18,32,0
1/25/2016,Clear,35,31,26,19.9,0
1/26/2016,Clear,51,37,28,36.9,0
1/27/2016,Clear,45,43,31,29.1,0
1/28/2016,Clear,42,34,26,23,0
1/29/2016,Clear,41,36,33,28,0
1/30/2016,Clear,43,36,30,32,0
1/31/2016,Clear,57,43,38,31.1,0
2/1/2016,Clear,65,49,39,33.1,0
2/2/2016,Clear,50,44,36,17,0
2/3/2016,Rain,57,42,35,46.1,0.33
2/4/2016,Rain,56,54,43,23,0.01
2/5/2016,Snow,43,37,25,36.9,0.96
2/6/2016,Clear,35,29,24,23,0
2/7/2016,Clear,44,34,29,31.1,0
2/8/2016,Snow,38,29,18,46.1,0.53
2/9/2016,Clear,29,23,20,19.9,0
2/10/2016,Clear,36,28,20,23,0
2/11/2016,Snow,31,28,11,38.9,0.01
2/12/2016,Clear,24,15,8,30,0
2/13/2016,Clear,24,20,-4,42.9,0
2/14/2016,Clear,12,0,-9,38,0
2/15/2016,Snow,35,11,4,19.9,0.26
2/16/2016,Rain,54,40,31,47,0.66
2/17/2016,Clear,46,42,34,31.1,0
2/18/2016,Clear,35,33,24,25.9,0
2/19/2016,Clear,37,28,20,19.9,0
2/20/2016,Rain,60,43,33,32,0.01
2/21/2016,Clear,54,50,42,28,0
2/22/2016,Clear,43,40,30,18.1,0
2/23/2016,Clear,39,33,26,23,0
2/24/2016,Rain,57,39,38,36,0.59
2/25/2016,Rain,62,54,41,53.9,0.81
2/26/2016,Clear,41,38,26,40,0
2/27/2016,Clear,39,29,21,31.1,0
2/28/2016,Clear,58,42,36,29.1,0
2/29/2016,Clear,64,50,43,38.9,0
3/1/2016,Clear,49,42,34,55.9,0
3/2/2016,Rain,53,43,25,38,0.37
3/3/2016,Clear,34,27,21,30,0
